topic,word,frequency
viaggiare,ristoranti,0.9587597250938416
viaggiare,locali,0.9530656337738037
viaggiare,ricette,0.9516380429267883
viaggiare,6maggio,0.9510011672973633
viaggiare,drag,0.9507278203964233
viaggiare,pagate,0.9497338533401489
viaggiare,teaser,0.949346125125885
viaggiare,perfette,0.9489503502845764
viaggiare,latartaruga_fio,0.9480907917022705
viaggiare,testano,0.9474116563796997
ferragni,chiara,0.9436657428741455
ferragni,fedez,0.8752965331077576
ferragni,gardaland,0.8186192512512207
ferragni,compleanno,0.8086099624633789
ferragni,incinta,0.8045523166656494
ferragni,attaccata,0.8016625642776489
ferragni,intera,0.795939564704895
ferragni,affitta,0.7933396100997925
ferragni,critiche,0.7912344932556152
ferragni,coez,0.7898776531219482
instagram,down,0.672865629196167
instagram,rischio,0.6713874340057373
instagram,esposti,0.6707453727722168
instagram,scandalo,0.6675643920898438
instagram,taggare,0.6654089093208313
instagram,acquistare,0.6653487682342529
instagram,russi,0.6636310815811157
instagram,alcuna,0.663383960723877
instagram,mesiiii,0.6624287366867065
instagram,tweetter,0.6604571342468262
politica,opinionista,0.9177938103675842
politica,unofratanti,0.8974713087081909
politica,alltog,0.8684976100921631
politica,gino,0.865217924118042
politica,ospitedipropaga,0.8639994859695435
politica,linguaggio,0.86179518699646
politica,camassa,0.8562759160995483
politica,prati,0.8542348742485046
politica,pellino,0.8498548269271851
politica,flora,0.8448386192321777
marketing,influencermarketing,0.8349926471710205
marketing,trend,0.8002657890319824
marketing,report,0.780724823474884
marketing,trasparenza,0.7806258201599121
marketing,gamification,0.7696523666381836
marketing,osservatorio,0.7666018605232239
marketing,mobile,0.7625882625579834
marketing,ipsos,0.7618146538734436
marketing,approccio,0.7555509805679321
marketing,strategica,0.74058997631073
fake,servizi,0.9008792042732239
fake,miliardi,0.8946065306663513
fake,chiudendo,0.8915164470672607
fake,diversa,0.8882482051849365
fake,ben,0.8797678351402283
fake,numeri,0.8720008730888367
fake,reali,0.8693727850914001
fake,influenzati,0.866073727607727
fake,spettatori,0.8579927682876587
fake,zziagenio78,0.8540016412734985
fashion,style,0.8972049951553345
fashion,look,0.8592606782913208
fashion,chanel,0.8577426075935364
fashion,love,0.854275107383728
fashion,mood,0.8426653742790222
fashion,fashionista,0.8228403925895691
fashion,lookoftheday,0.8225437998771667
fashion,modadonna,0.8203420042991638
fashion,divad_p,0.8202543258666992
fashion,lover,0.8188379406929016
lavoro,pieno,0.8043093681335449
lavoro,benissimo,0.7904132008552551
lavoro,immigrato,0.789442241191864
lavoro,tempo,0.7857404351234436
lavoro,preferendo,0.7784929275512695
lavoro,immigrati,0.7753534913063049
lavoro,preferisco,0.774878740310669
lavoro,arma,0.7614142894744873
lavoro,hobby,0.7570303678512573
lavoro,professione,0.7548032402992249
blogger,chanel,0.7557157278060913
blogger,fashion,0.7482914924621582
blogger,giornalisti,0.7394710779190063
blogger,travel,0.7386386394500732
blogger,food,0.7379286289215088
blogger,foodblogger,0.731345534324646
blogger,videomaker,0.7253147959709167
blogger,look,0.7207872867584229
blogger,blog,0.717454195022583
blogger,pubblicisti,0.712722897529602
musica,appassionata,0.8371151685714722
musica,addetta,0.8287572860717773
musica,festival,0.8175461888313293
musica,bambini,0.7978948950767517
musica,veder,0.7965102791786194
musica,musicali,0.7856212258338928
musica,domenicale,0.7841640710830688
musica,bio,0.7813724875450134
musica,guidagenitori,0.7763969302177429
musica,matrimoni,0.7738327383995056
sport,workshop,0.9103193879127502
sport,salvaguardare,0.9101550579071045
sport,piras,0.908012330532074
sport,pezzenti,0.9076237678527832
sport,categorie,0.9076082706451416
sport,strategici,0.9068285226821899
sport,rilevanti,0.9059984683990479
sport,turistico,0.9045264720916748
sport,nutrizione,0.9041366577148438
sport,asset,0.9038065671920776
